Name,Ins
杨涛只,西安交通大学
张斌,贵州师范大学
张斌,贵州师范大学
郭素芬,云南天文台
闫冬冬,中国科学院云南天文台
陈慧玲,北京大学
张斌,贵州师范大学
伊团,北京大学
张斌,贵州师范大学
邓诗宇,中国科学院国家天文台长春人造卫星观测站
高东洋,山东大学
陈悦,紫金山天文台
吴涛,中国科学院云南天文台
张硕,清华大学
李春燕,上海天文台
钟晓谷,曲靖师范学院
邹乾一,国家天文台
江林巧,乐山师范学院
谢仁婧,中国科学院国家天文台
翟萌,中国科学院国家天文台
闫智强,南京大学
王一帆,西交利物浦大学
王洪涛,廊坊师范学院
李江丹,云南天文台
林桂芳,云南天文台
何治宏,西华师范大学
徐金龙,中国科学院国家天文台
古学岽,国家天文台
王锦鹏,国家天文台
季辰阳,清华大学
郭彦君,云南天文台
华心言,清华大学天文系
张睿之,国家天文台
李春乾,中国科学院国家天文台
李睿智,云南天文台
王柏廷,云南天文台
雷浩川,青海大学
彭渝杰,国家天文台
沈冬祥,新疆大学
林洋名,中国科学院国家天文台
张茜,大理大学中科院上海天文台长春人卫站
林巍莉,厦门大学
郭飞,云南师范大学
丁明屹,国家天文台
何炽鹏,中山大学物理与天文学院
李林鸿,上海海洋大学
梁郭,西华师范大学物理与天文学院
张辉,上海天文台
徐帅,北京师范大学
李卓翰,国家天文台
张春光,中国科学院国家天文台
蔡建清,上海天文台
龙高欢,北京师范大学
李泓言,国家天文台
戴远哲,南京大学
李子凡,紫金山天文台
刘烁,中国科学技术大学天文系
张津铭,北京师范大学
侯晓琨,国家天文台
乔一,中山大学
张骏凯,清华大学天文系
杨玉姣,中国科学院国家天文台
王佳琪,中国科学院国家天文台
张博闻,国家天文台
陈静,中国科学院南京天文光学技术研究所
张子冲,中国科学院南京天文光学技术研究所
王超燕,中国科学院上海天文台
张萌,国家天文台
熊定荣,中国科学院云南天文台
刘权毅,清华大学
余亮亮,南京大学
徐昊,山东大学威海
施建荣,国家天文台
郭贺龙,云南大学西南天文研究所
杨明宽,国家天文台
李丽萍,云南天文台
陈勃言,中国科学院高能物理研究所
肖光耀,李政道研究所
宣一帆,上海交通大学李政道研究所
田洋,西华师范大学
林子滔,清华大学天文系
李志,中国科学院大学云南天文台
孙小丫,西安交通大学
李汶达,中国科学院国家天文台
江睿铮,国家天文台
贾淇,西华师范大学
李嵩霆,上海交通大学物理与天文学院
吴悦,中国科学院国家天文台
邓宇宏,西华师范大学
臧蕾,云南大学
罗琳琳,西华师范大学
王江涛,中国科学院国家天文台
毛选,国家天文台
刘念平,中国科学院云南天文台
唐佳欣,清华大学天文系
张嘉越,清华大学天文系
周肖,中国科学院云南天文台
刘宁,安徽师范大学
李文楷,中国科学技术大学
李霞,中山大学
简明杰,斯德哥尔摩大学
张振泰,中山大学物理与天文学院
张振泰,中山大学物理与天文学院
冉松,中国科学技术大学天文系
李重澄,中国科学院大学
申淯夫,中国科学院国家天文台长春人造卫星观测站
杨申,中国科学院云南天文台
涂培玮,南京大学
陈安东,南京大学
祝展翼,南京大学天文与空间科学学院
晋升,安徽师范大学
武迪,南京大学
高翔,山东大学
施建荣,国家天文台
向茂盛,国家天文台
谢成成,杭州电子科技大学
王佳琪,国家天文台
汪立恒,山东大学
陈兴浩,云南天文台
晋升,安徽师范大学
郭金承,北京天文馆
吴涛,中国科学院云南天文台
潘洋,西华师范大学
陆彦婷,中国科学院南京天文光学技术研究所
魏丹丹,奥地利科学技术研究所
陈瑶鑫,浙江大学
高翔,山东大学
张浩然,厦门大学
李春燕,上海天文台
牛虎彪,中国科学院新疆天文台
林杰,厦门大学
柯天,武汉大学
张辉,上海天文台
黄辰亮,上海天文台
陈向蕾,国家天文台
张译心,上海天文台
张子冲,中国科学院南京天文光学技术研究所
刘禾阳,中国科学院国家天文台
王勇,中国科学院新疆天文台
何雨辰,山东大学
吴晶晶,山东大学
张硕,清华大学
曹洪敏,商丘师范学院
王洪涛,廊坊师范学院
冯国杰,中国科学院新疆天文台
郭素芬,云南天文台
邱世灿,长安大学
蔡涛,澳门科技大学
张译心,上海天文台
潘玉,云南大学西南天文研究所
邹星竹,云南大学西南天文研究所
王牧天,南京大学
陈鑫磊,云南大学中国西南天文研究所
